,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2024-11-01,571.32,575.55,570.62,571.04,571.04,44529716,44529716,-0.28,-0.04900931,572.1325,"November 01, 24",-0.0004900931
1,2024-10-31,575.56,575.63,568.44,568.64,568.64,60182500,60182500,-6.92,-1.2,572.0675,"October 31, 24",-0.012
2,2024-10-30,581.29,583.32,579.29,580.01,580.01,41435839,41435839,-1.28,-0.2202,580.9775,"October 30, 24",-0.002202
3,2024-10-29,579.85,582.91,578.43,581.77,581.77,42899700,42899700,1.92,0.33112,580.74,"October 29, 24",0.0033112
4,2024-10-28,582.58,582.71,580.52,580.83,580.83,30174704,30174704,-1.75,-0.30039,581.66,"October 28, 24",-0.0030039
5,2024-10-25,581.51,584.46,578.08,579.04,579.04,47268200,47268200,-2.47,-0.42476,580.7725,"October 25, 24",-0.0042476
6,2024-10-24,579.98,580.06,576.57,579.24,579.24,34979900,34979900,-0.74,-0.12759,578.9625,"October 24, 24",-0.0012759
7,2024-10-23,581.26,581.71,574.42,577.99,577.99,49314600,49314600,-3.27,-0.56257,578.845,"October 23, 24",-0.0056257
8,2024-10-22,581.05,584.5,580.38,583.32,583.32,34183835,34183835,2.27,0.39067,582.3125,"October 22, 24",0.0039067
9,2024-10-21,583.85,584.85,580.6,583.63,583.63,36439010,36439010,-0.22,-0.03768091,583.2325,"October 21, 24",-0.0003768091
10,2024-10-18,584.07,585.39,582.58,584.59,584.59,37416801,37416801,0.52,0.08903042,584.1575,"October 18, 24",0.0008903042
11,2024-10-17,585.91,586.12,582.16,582.35,582.35,34393714,34393714,-3.56,-0.6076,584.135,"October 17, 24",-0.006076
12,2024-10-16,579.78,582.83,578.96,582.3,582.3,30725436,30725436,2.52,0.43465,580.9675,"October 16, 24",0.0043465
13,2024-10-15,584.59,584.9,578.54,579.78,579.78,54203636,54203636,-4.81,-0.8228,581.9525,"October 15, 24",-0.008228
14,2024-10-14,581.22,585.27,580.73,584.32,584.32,36217215,36217215,3.1,0.53336,582.885,"October 14, 24",0.0053336
15,2024-10-11,576.05,580.33,575.91,579.58,579.58,42268000,42268000,3.53,0.61279,577.9675,"October 11, 24",0.0061279
16,2024-10-10,575.77,577.58,574.49,576.13,576.13,44138100,44138100,0.36,0.06252497,575.9925,"October 10, 24",0.0006252497
17,2024-10-09,573.16,577.71,572.55,577.14,577.14,37912244,37912244,3.98,0.6944,575.14,"October 09, 24",0.006944
18,2024-10-08,570.42,573.78,569.53,573.17,573.17,37398700,37398700,2.75,0.4821,571.725,"October 08, 24",0.004821
19,2024-10-07,571.3,571.96,566.63,567.8,567.8,49964700,49964700,-3.5,-0.61264,569.4225,"October 07, 24",-0.0061264
20,2024-10-04,572.35,573.36,568.1,572.98,572.98,43005186,43005186,0.63,0.11007,571.6975,"October 04, 24",0.0011007
21,2024-10-03,567.36,569.8,565.49,567.82,567.82,40846500,40846500,0.46,0.08107727,567.6175,"October 03, 24",0.0008107727
22,2024-10-02,567.71,569.9,565.27,568.86,568.86,38097800,38097800,1.15,0.20257,567.935,"October 02, 24",0.0020257
23,2024-10-01,573.4,574.06,566.0,568.62,568.62,72668800,72668800,-4.78,-0.83362,570.52,"October 01, 24",-0.0083362
24,2024-09-30,570.42,574.38,568.08,573.76,573.76,63655448,63655448,3.34,0.58553,571.66,"September 30, 24",0.0058553
25,2024-09-27,573.39,574.22,570.42,571.47,571.47,42100928,42100928,-1.92,-0.33485,572.375,"September 27, 24",-0.0033485
26,2024-09-26,574.38,574.71,569.9,572.3,572.3,48336004,48336004,-2.08,-0.36213,572.8225,"September 26, 24",-0.0036213
